000 surface                       SURFACE                      
001 entireAtmosphere              ENTIREATMOSPHERE             
002 entireOcean                   ENTIREOCEAN                  
003 entireLake                    ENTIRELAKE                   
004 cloudBase                     CLOUDBASE                    
005 cloudTop                      CLOUDTOP                     
006 isothermZero                  ISOTHERMZERO                 
007 adiabaticCondensation         ADIABATICCONDENSATION        
008 maxWind                       MAXWIND                      
009 tropopause                    TROPOPAUSE                   
010 nominalTop                    NOMINALTOP                   
011 seaBottom                     SEABOTTOM                    
012 atmosphere                    ATMOSPHERE                   
013 cumulonimbusBase              CUMULONIMBUSBASE             
014 cumulonimbusTop               CUMULONIMBUSTOP              
015 freeConvection                FREECONVECTION               
016 convectiveCondensation        CONVECTIVECONDENSATION       
017 neutralBuoyancy               NEUTRALBUOYANCY              
018 mostUnstableParcel            MOSTUNSTABLEPARCEL           
019 mixedLayerParcel              MIXEDLAYERPARCEL             
020 isothermal                    ISOTHERMAL                   
021 isobaricInPa                  ISOBARICINPA                 
022 isobaricInhPa                 ISOBARICINHPA                
023 isobaricLayer                 ISOBARICLAYER                
024 lowCloudLayer                 LOWCLOUDLAYER                
025 mediumCloudLayer              MEDIUMCLOUDLAYER             
026 highCloudLayer                HIGHCLOUDLAYER               
027 meanSea                       MEANSEA                      
028 heightAboveSea                HEIGHTABOVESEA               
029 heightAboveSeaLayer           HEIGHTABOVESEALAYER          
030 heightAboveGround             HEIGHTABOVEGROUND            
031 heightAboveGroundLayer        HEIGHTABOVEGROUNDLAYER       
032 sigma                         SIGMA                        
033 sigmaLayer                    SIGMALAYER                   
034 hybrid                        HYBRID                       
035 hybridLayer                   HYBRIDLAYER                  
036 depthBelowLand                DEPTHBELOWLAND               
037 depthBelowLandLayer           DEPTHBELOWLANDLAYER          
038 theta                         THETA                        
039 thetaLayer                    THETALAYER                   
040 pressureFromGround            PRESSUREFROMGROUND           
041 pressureFromGroundLayer       PRESSUREFROMGROUNDLAYER      
042 potentialVorticity            POTENTIALVORTICITY           
043 eta                           ETA                          
044 snow                          SNOW                         
045 snowLayer                     SNOWLAYER                    
046 mixedLayerDepthGeneric        MIXEDLAYERDEPTHGENERIC       
047 hybridHeight                  HYBRIDHEIGHT                 
048 hybridPressure                HYBRIDPRESSURE               
049 generalVertical               GENERALVERTICAL              
050 generalVerticalLayer          GENERALVERTICALLAYER         
051 soil                          SOIL                         
052 soilLayer                     SOILLAYER                    
053 seaIce                        SEAICE                       
054 seaIceLayer                   SEAICELAYER                  
055 depthBelowSea                 DEPTHBELOWSEA                
056 oceanSurface                  OCEANSURFACE                 
057 depthBelowSeaLayer            DEPTHBELOWSEALAYER           
058 oceanSurfaceToBottom          OCEANSURFACETOBOTTOM         
059 lakeBottom                    LAKEBOTTOM                   
060 mixingLayer                   MIXINGLAYER                  
061 oceanModel                    OCEANMODEL                   
062 oceanModelLayer               OCEANMODELLAYER              
063 mixedLayerDepthByDensity      MIXEDLAYERDEPTHBYDENSITY     
064 mixedLayerDepthByTemperature  MIXEDLAYERDEPTHBYTEMPERATURE 
065 mixedLayerDepthByDiffusivity  MIXEDLAYERDEPTHBYDIFFUSIVITY 
066 snowTopOverIceOnWater         SNOWTOPOVERICEONWATER        
067 snowLayerOverIceOnWater       SNOWLAYEROVERICEONWATER      
068 iceTopOnWater                 ICETOPONWATER                
069 iceLayerOnWater               ICELAYERONWATER              
070 iceTopUnderSnowOnWater        ICETOPUNDERSNOWONWATER       
071 iceLayerUnderSnowOnWater      ICELAYERUNDERSNOWONWATER     
072 iceBottomOnWater              ICEBOTTOMONWATER             
073 indefiniteSoilDepth           INDEFINITESOILDEPTH          
074 meltPondTop                   MELTPONDTOP                  
075 meltPondBottom                MELTPONDBOTTOM               
076 entireMeltPond                ENTIREMELTPOND               
077 iceLayerAboveWaterSurface     ICELAYERABOVEWATERSURFACE    
078 waterSurfaceToIsothermalOceanLayer  WATERSURFACETOISOTHERMALOCEANLAYER 
079 totalSoilLayer  TOTALSOILLAYER 
080 rootZone        ROOTZONE       
081 roof            ROOF           
082 roofLayer       ROOFLAYER      
083 wall            WALL           
084 wallLayer       WALLLAYER      
085 road            ROAD           
086 roadLayer       ROADLAYER      
087 urbanCanyon     URBANCANYON   
999 custom          CUSTOM 
